memoryKey,userKey,type,category,importance,accessCount,hasExpiry,hasMetadata,hasSourceSignal,hasConversationLink,hasConflictFlag,hasArchivedFlag,consentState,sensitivityTier,provenanceState,retentionState,disposition,closureState,nextAction,consumerPolicy
1a3c9fe52cd04b4c6cc0e3b3,e0df4f05f68bba19999ff49e,FACT,test_score,0.814985676840113,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
72cdde9bff92141eeb4e906d,787856073e65281e1f84d958,FACT,test_score,0.8644770287587357,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
b230a6103051ef8fb395ef9d,0454f0a72b2c094e6d6d7f71,FACT,profile_analysis,0.7902786418998022,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
eb97f37bd36d97c2954e6a72,0454f0a72b2c094e6d6d7f71,PREFERENCE,profile,0.6560316099576008,7,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,long_lived_allowed_by_type,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
2d5ba6872a4783df663991ab,db8b0894f820112628cf25d2,FACT,test_score,0.8643794644475596,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
2f7f2a42533a960546e0760b,0454f0a72b2c094e6d6d7f71,DECISION,swipe_prediction,0.7408715393943864,0,false,true,true,false,false,false,missing_preference_row,medium,source_linked,long_lived_allowed_by_type,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
8977621483fc1418bcbdbd00,0454f0a72b2c094e6d6d7f71,DECISION,swipe_prediction,0.740871227273795,0,false,true,true,false,false,false,missing_preference_row,medium,source_linked,long_lived_allowed_by_type,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,weak_state_only_until_source_consent_retention_review
5622e4a36ef0bb98fcfdbb3c,d0e4253985cba8e289e900ac,FACT,test_score,0.8150780399911635,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
48b629722d3d8a786fa114f1,a3e2396b71ceb51acb959fc6,FACT,test_score,0.815076632833576,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
548974125ef5f1045dad93fc,8f0b234b1d1992e3ca4ac7e7,FACT,test_score,0.8150765085280396,0,false,true,false,false,false,false,missing_preference_row,high,weak_metadata_only,missing_expiry_review,review_missing_memory_consent_preference,review,create-or-confirm-memory-preference,review_before_chat_recall_or_application_analysis_context
