schoolId,schoolName,usNewsRank,field,bucket,action,status,hasValue,hasSourceUrl,hasCandidateEvidence,candidateEvidenceCount,disposition,closureState,nextAction,sourceQuality,consumerPolicy
cmnwr8iur0043z0tie8ndrb65,Amherst College,2,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iur0043z0tie8ndrb65,Amherst College,2,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iw7004vz0ti65mqjgq5,Berklee College of Music,2,sat25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iw7004vz0ti65mqjgq5,Berklee College of Music,2,sat75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iw7004vz0ti65mqjgq5,Berklee College of Music,2,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iw7004vz0ti65mqjgq5,Berklee College of Music,2,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwi0051z0tidfdrzv7w,Cooper Union,2,sat25,legacy,source-candidate-review,,true,true,true,1,review_candidate_evidence_before_publish,review,review,candidate_evidence_review,review_queue_only_candidate_evidence_not_a_fact
cmnwr8iwi0051z0tidfdrzv7w,Cooper Union,2,sat75,legacy,source-candidate-review,,true,true,true,1,review_candidate_evidence_before_publish,review,review,candidate_evidence_review,review_queue_only_candidate_evidence_not_a_fact
cmnwr8iwi0051z0tidfdrzv7w,Cooper Union,2,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwi0051z0tidfdrzv7w,Cooper Union,2,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivr004nz0ti5oh56l0o,Pratt Institute,2,sat25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivr004nz0ti5oh56l0o,Pratt Institute,2,sat75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivr004nz0ti5oh56l0o,Pratt Institute,2,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8ivr004nz0ti5oh56l0o,Pratt Institute,2,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iw9004wz0tiun4guycq,Curtis Institute of Music,3,sat25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iw9004wz0tiun4guycq,Curtis Institute of Music,3,sat75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iw9004wz0tiun4guycq,Curtis Institute of Music,3,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iw9004wz0tiun4guycq,Curtis Institute of Music,3,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,1,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmn1htkn60002vqf2r731l78m,Harvard University,3,eaAcceptanceRate,legacy,source-candidate-review,,true,true,true,5,review_candidate_evidence_before_publish,review,review,candidate_evidence_review,review_queue_only_candidate_evidence_not_a_fact
cmnwr8iwl0052z0ti9adsxk6l,Olin College of Engineering,3,act25,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
cmnwr8iwl0052z0ti9adsxk6l,Olin College of Engineering,3,act75,heuristic,heuristic-review,HEURISTIC_FILL,true,false,true,5,review_heuristic_anchor_before_confident_consumption,review,review,heuristic_review,heuristic_weak_state_only_with_visible_uncertainty
