schoolId,schoolName,usNewsRank,applicationYear,promptCount,criticalPromptCount,recommendedAction,reviewDisposition,topCandidateType,topCandidateUrl,promptIds
cmn1htkow000tvqf2qc5n3qhd,University of Florida,28,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.ufl.edu/admissions,cmorxgmdn008neiz6bmlaa50x
cmn1htkoz000uvqf2rnozc3fe,University of Southern California,28,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.usc.edu/admissions,cmorwlagf007xnoojyb7we9n7
cmn1htkpe0010vqf2xzzjz779,University of Illinois Urbana-Champaign,35,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://illinois.edu/admissions,cmorxhd1r00a3eiz6mf4crjow
cmnwr8ima0008z0ti358pkae1,University of Minnesota Twin Cities,51,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://twin-cities.umn.edu/admissions,cmor88e2x00b31jbwocyn8zg1
cmnwr8ilt0000z0ticnudxg0y,University of Rochester,52,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.rochester.edu/admissions,cmor88o7n00bh1jbw5h9sxlwe
cmnwr8iun0041z0tin8tw3f6b,Villanova University,52,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.villanova.edu/admissions,cmorxj17j00cdeiz6ibex4drl
cmnwr8im70006z0ti47aaywzj,Tulane University,53,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://tulane.edu/admissions,cmor88zto00bv1jbw6uouy4rg
cmnwr8imn000fz0ti5zassqtj,Pepperdine University,60,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.pepperdine.edu/admissions,cmorxk04v00dneiz6l1p433ow
cmnwr8inf000uz0tic8a7s8is,Rensselaer Polytechnic Institute,67,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.rpi.edu/admissions,cmorxkpht00eleiz659cvupc8
cmnwr8ins0012z0ti4o8njwhn,Stony Brook University,79,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.stonybrook.edu/admissions,cmorxm72c00gjeiz6oc16osdn
cmnwr8ime000az0ti9ts1sd20,Colorado School of Mines,95,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.mines.edu/admissions,cmor8euh000gj1jbwdeoptx2j
cmnwr8iu3003vz0tig0fa53lf,Howard University,95,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.howard.edu/admissions,cmor8f0ka00gr1jbwr5l5sneo
cmnwr8iu6003wz0tio3oagiri,Rochester Institute of Technology,95,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.rit.edu/admissions,cmor8ephs00gh1jbwaxfyhh3z
cmnwr8iua003xz0tio2zj4a4z,Saint Louis University,95,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.slu.edu/admissions,cmorxd2u300hl8vvhwcsu5kin
cmnwr8ini000wz0ti57rv9m9o,Auburn University,101,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.auburn.edu/admissions,cmor8g69z00hf1jbw8maj96we
cmnwr8iob001dz0ti3go71xpz,University of Utah,101,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.utah.edu/admissions,cmorxo2k900ifeiz6cw8ezo21
cmnwr8ip3001mz0til7q2dopw,University of Oklahoma,115,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.ou.edu/admissions,cmorxpfv700iteiz6ktsl45kk
cmnwr8is80031z0tizosa0sa8,University of Toledo,171,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.utoledo.edu/admissions,cmorxsott00lheiz61i6bv6c6
cmnwr8ise0034z0tiwz772kaw,Oklahoma State University,175,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://go.okstate.edu/admissions,cmorxt1g800lleiz6rirr6a12
cmnwr8isu003dz0tijwn1m0s0,University of Texas at Arlington,185,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.uta.edu/admissions,cmor8opge00ll1jbw4ck1smo9
cmnwr8ita003iz0ti7ezibmu3,Georgia State University,189,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.gsu.edu/admissions,cmorxucc300m5eiz6hgnx41vr
cmnwr8iti003lz0ti0z9hwm3s,Wright State University,194,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://www.wright.edu/admissions,cmorxup9400m7eiz6jkqqgv5l
cmnwr8iwq0055z0tivbkk0qbk,University of North Carolina Wilmington,205,2026,1,1,review-official-source,candidate-review,OFFICIAL_CANDIDATE,https://uncw.edu/admissions,cmor8qbd100m91jbwu01c8qgi
