schoolId,schoolName,sourceSearchPromptRows,criticalPromptRows,identityConflictRows,identityConflictDispositions,identityRelations,sourceFamilyMismatchReviewRows,campaignState,recommendedAction,score,checkedCandidates,linkedSourceCandidates,topLinkedUrl,topCandidateUrl,promptIds
"cmnwr8in0000mz0tiria7qm89","University of Iowa","3","3","0","","","0","source_search","manual-official-source-search-or-terminal","186","0","0","","https://uiowa.edu/admissions","cmor8bqx900e31jbwvervlm7d|cmorxkzda00eteiz6ozsifgpr|cmorwpci700ehnooj5sf52aou"
"cmnwr8ivd004fz0tiwbcr93y2","Colgate University","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","186","0","0","","https://www.colgate.edu/admissions","cmorxeozs0055eiz6yj8abx2j|cmorxeozr0053eiz6ao22uros"
"cmnwr8ivi004iz0tinveg964v","Washington and Lee University","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","183","0","0","","https://www.wlu.edu/admissions","cmor82jos00691jbwg1mwwxwo|cmorxf3cx0067eiz6pzb1z3ex"
"cmn1htkoc000lvqf2s5pgbhxx","Georgetown University","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","178","0","0","","https://www.georgetown.edu/admissions","cmorxg1aq007heiz6zrv0qjas|cmor83o8000771jbwt75dugmx"
"cmn1htkoe000mvqf2odaszvmk","University of North Carolina at Chapel Hill","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","178","0","0","","https://www.unc.edu/admissions","cmorwkjbj0069noojwln2bo6i|cmorwkjbn006bnoojms4jzsga"
"cmn1htkq60019vqf2lmijsj2s","University of Maryland, College Park","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","154","0","0","","https://www.umd.edu/admissions","cmorxidfh00bbeiz61ad7uuew|cmorxidfa00b9eiz6qlu2dv07"
"cmnwr8iur0043z0tie8ndrb65","Amherst College","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","138","0","0","","https://www.amherst.edu/admissions","cmorxbuif001beiz6umctjgot"
"cmnwr8iwi0051z0tidfdrzv7w","Cooper Union","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","138","0","0","","https://cooper.edu/admissions","cmorw4utc001f44lkot1qkieg"
"cmn1htkn30001vqf2nozenmj6","Massachusetts Institute of Technology","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","138","0","0","","https://www.mit.edu/admissions","cmorxbk6j000xeiz6g5atpskm"
"cmn1htkna0004vqf2erll9srp","Yale University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","135","0","0","","https://www.yale.edu/admissions","cmorwhi320023nooje0kqa0nw"
"cmnwr8iuy0047z0tijtdlowua","Bowdoin College","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","134","0","0","","https://www.bowdoin.edu/admissions","cmorxd5qz002neiz69rojmwjq"
"cmn1htknc0005vqf2l2az4cd2","University of Pennsylvania","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","134","0","0","","https://www.upenn.edu/admissions","cmor7ytlo002r1jbw5glhilha"
"cmnwr8itt003rz0tizqmu1u5h","Yeshiva University","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","126","0","0","","https://www.yu.edu/admissions","cmorxl52h00ezeiz6j32tqzgv|cmor8bv6b00eb1jbwk8gk31k2"
"cmnwr8ive004gz0tihs1kxbek","Davidson College","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","125","0","0","","https://www.davidson.edu/admissions","cmorw7ziu005l44lkx12y1ryn"
"cmn1htko0000gvqf2pmjc1xi9","Rice University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","123","0","0","","https://www.rice.edu/admissions","cmorx4i1p006v8vvhtjqzje2a"
"cmn1htko5000ivqf28d3x9557","Vanderbilt University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","122","0","0","","https://www.vanderbilt.edu/admissions","cmorxfjp7006zeiz62o64qekh"
"cmnwr8imu000jz0ti03zavqgf","University of Massachusetts Amherst","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","121","0","0","","https://www.umass.edu/admissions","cmorxloui00fneiz6ffyxc3p8|cmor8cf8r00el1jbwlvt95cxo"
"cmnwr8iqk0027z0ti3qm7r15o","University of Central Florida","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","120","0","0","","https://www.ucf.edu/admissions","cmorxfxr200kj8vvhjwitkvce|cmorxqt1f00kneiz6xyptz8ej"
"cmnwr8ir0002fz0tiuxlv8v32","Kent State University","2","2","0","","","0","source_search","manual-official-source-search-or-terminal","120","0","0","","https://www.kent.edu/admissions","cmor8lh1w00kl1jbw05h5yape|cmor8lh1o00kj1jbws9rfxyue"
"cmn1htkoa000kvqf2oqm36hw5","University of Michigan, Ann Arbor","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","119","0","0","","https://umich.edu/admissions","cmorxfx3l007feiz6d6y75iza"
"cmn1htkom000pvqf2se90bue1","University of Virginia","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","116","0","0","","https://www.virginia.edu/admissions","cmorwkwyt006xnooj51afbwyi"
"cmn1htkor000rvqf282ibd6kz","University of California, Davis","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","112","0","0","","https://www.ucdavis.edu/admissions","cmor84ln300831jbw0touh3s5"
"cmn1htkow000tvqf2qc5n3qhd","University of Florida","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","112","0","0","","https://www.ufl.edu/admissions","cmorxgmdn008neiz6bmlaa50x"
"cmn1htkoz000uvqf2rnozc3fe","University of Southern California","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","112","0","0","","https://www.usc.edu/admissions","cmorwlagf007xnoojyb7we9n7"
"cmn1htkpe0010vqf2xzzjz779","University of Illinois Urbana-Champaign","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","105","0","0","","https://illinois.edu/admissions","cmorxhd1r00a3eiz6mf4crjow"
"cmnwr8ima0008z0ti358pkae1","University of Minnesota Twin Cities","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","89","0","0","","https://twin-cities.umn.edu/admissions","cmor88e2x00b31jbwocyn8zg1"
"cmnwr8ilt0000z0ticnudxg0y","University of Rochester","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","88","0","0","","https://www.rochester.edu/admissions","cmor88o7n00bh1jbw5h9sxlwe"
"cmnwr8iun0041z0tin8tw3f6b","Villanova University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","88","0","0","","https://www.villanova.edu/admissions","cmorxj17j00cdeiz6ibex4drl"
"cmnwr8im70006z0ti47aaywzj","Tulane University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","87","0","0","","https://tulane.edu/admissions","cmor88zto00bv1jbw6uouy4rg"
"cmnwr8imn000fz0ti5zassqtj","Pepperdine University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","80","0","0","","https://www.pepperdine.edu/admissions","cmorxk04v00dneiz6l1p433ow"
"cmnwr8inf000uz0tic8a7s8is","Rensselaer Polytechnic Institute","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","73","0","0","","https://www.rpi.edu/admissions","cmorxkpht00eleiz659cvupc8"
"cmnwr8ins0012z0ti4o8njwhn","Stony Brook University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","61","0","0","","https://www.stonybrook.edu/admissions","cmorxm72c00gjeiz6oc16osdn"
"cmnwr8ime000az0ti9ts1sd20","Colorado School of Mines","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.mines.edu/admissions","cmor8euh000gj1jbwdeoptx2j"
"cmnwr8iu3003vz0tig0fa53lf","Howard University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.howard.edu/admissions","cmor8f0ka00gr1jbwr5l5sneo"
"cmnwr8iu6003wz0tio3oagiri","Rochester Institute of Technology","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.rit.edu/admissions","cmor8ephs00gh1jbwaxfyhh3z"
"cmnwr8ini000wz0ti57rv9m9o","Auburn University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.auburn.edu/admissions","cmor8g69z00hf1jbw8maj96we"
"cmnwr8iob001dz0ti3go71xpz","University of Utah","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.utah.edu/admissions","cmorxo2k900ifeiz6cw8ezo21"
"cmnwr8ip3001mz0til7q2dopw","University of Oklahoma","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.ou.edu/admissions","cmorxpfv700iteiz6ktsl45kk"
"cmnwr8is80031z0tizosa0sa8","University of Toledo","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.utoledo.edu/admissions","cmorxsott00lheiz61i6bv6c6"
"cmnwr8ise0034z0tiwz772kaw","Oklahoma State University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://go.okstate.edu/admissions","cmorxt1g800lleiz6rirr6a12"
"cmnwr8isu003dz0tijwn1m0s0","University of Texas at Arlington","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.uta.edu/admissions","cmor8opge00ll1jbw4ck1smo9"
"cmnwr8ita003iz0ti7ezibmu3","Georgia State University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.gsu.edu/admissions","cmorxucc300m5eiz6hgnx41vr"
"cmnwr8iti003lz0ti0z9hwm3s","Wright State University","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://www.wright.edu/admissions","cmorxup9400m7eiz6jkqqgv5l"
"cmnwr8iwq0055z0tivbkk0qbk","University of North Carolina Wilmington","1","1","0","","","0","source_search","manual-official-source-search-or-terminal","60","0","0","","https://uncw.edu/admissions","cmor8qbd100m91jbwu01c8qgi"
"cmn1htkmy0000vqf2src2zcb5","Princeton University","8","8","0","","","5","source_family_mismatch_review","review-source-family-mismatch-before-source-approval","1","3","6","https://admission.princeton.edu/apply/princeton-specific-questions","https://www.princeton.edu/admissions","cmorw4egu000p44lk4y7rw3tp|cmor7v70t00031jbw9811hnq5|cmorxbc08000heiz6y9sgnv3w|cmorxbc0c000jeiz6i121bbpt|cmorxbc0e000leiz62ayerpo2|cmorwfwid000bnoojdxzju2z6|cmorwfwi70009nooj5ud6qlni|cmorvrqbx0003razugc26yj00"
"cmnwr8iup0042z0tieqofvyfn","Williams College","7","7","3","conflict_reassign_candidate","distinct_school_identity","0","conflict_review","resolve-identity-conflicts-before-source-approval","1","3","1","https://www.williams.edu/admission-aid/apply/first-year/","https://www.williams.edu/admissions","cmor7vnzp000h1jbwlx60s0yg|cmorwzr2500178vvh5gb8s5rb|cmorwzr2400158vvh3d9vmxql|cmor7vnzd000f1jbwr05a38yt|cmorwzr2100138vvhfyzhl3ew|cmorxbh8t000peiz6g7e8t5x4|cmorxbh8y000reiz6rfqrg8ut"
"cmnwr8imx000lz0tiez2ik9eg","Pennsylvania State University","7","7","2","review_duplicate_school_identity_candidate|conflict_reassign_candidate","possible_duplicate_same_website_location|distinct_school_identity","0","conflict_review","resolve-identity-conflicts-before-source-approval","1","3","1","https://www.commonapp.org/explore/penn-state","https://www.psu.edu/admissions","cmorxkbpl00e5eiz6hmyklai2|cmorxkbpm00e7eiz6vm9zedky|cmorxamtt00e98vvh8fgzy7tf|cmorxkbp600dteiz64omewnew|cmorxkbpd00dzeiz6mal12guf|cmorxkbpi00e3eiz6qwoa098m|cmorwoig500dhnoojojykszwt"
"cmnwr8iua003xz0tio2zj4a4z","Saint Louis University","1","1","1","conflict_reassign_candidate","distinct_school_identity","0","conflict_review","resolve-identity-conflicts-before-source-approval","1","0","0","","https://www.slu.edu/admissions","cmorxd2u300hl8vvhwcsu5kin"
