field,surfaceId,severity,closureState,disposition,recommendedAction,implementationTargets
"acceptanceRate","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/anchor-resolver.service.spec.ts|apps/api/src/modules/prediction/counselor/anchor-resolver.service.ts|apps/api/src/modules/prediction/counselor/counselor-backfill.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-backfill.service.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/distillation/cds-bands-ingestion.service.ts|apps/api/src/modules/prediction/distillation/compliant-distillation.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/expanded-teachers.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/major-selectivity-teacher.service.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.ts|apps/api/src/modules/prediction/dto/prediction-response.dto.ts|apps/api/src/modules/prediction/prediction-ai-engine.service.spec.ts|apps/api/src/modules/prediction/prediction-explanation.service.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.spec.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.ts|apps/api/src/modules/prediction/prediction-policy.service.spec.ts"
"act25","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|apps/api/src/modules/prediction/prediction.service.ts|packages/shared/src/scoring/score.ts|packages/shared/src/scoring/types.ts"
"act75","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/scorecard-teacher.service.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|apps/api/src/modules/prediction/prediction.service.ts|packages/shared/src/scoring/score.ts|packages/shared/src/scoring/types.ts"
"cdsAdmitBands","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/BRIEF.md|apps/api/src/modules/prediction/counselor/anchor-resolver.service.spec.ts|apps/api/src/modules/prediction/counselor/anchor-resolver.service.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/distillation/cds-bands-ingestion.service.ts|apps/api/src/modules/prediction/distillation/prediction-distillation.controller.ts|apps/api/src/modules/prediction/distillation/teachers/cds-bands-teacher.service.ts|apps/api/src/modules/prediction/distillation/teachers/expanded-teachers.service.spec.ts|packages/shared/src/scoring/score.ts"
"eaAcceptanceRate","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|packages/shared/src/scoring/types.ts"
"edAcceptanceRate","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.spec.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|packages/shared/src/scoring/types.ts"
"gpaDistribution","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|packages/shared/src/scoring/score.ts|packages/shared/src/scoring/types.ts"
"intlAcceptanceRate","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-backfill.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-backfill.service.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/distillation/teachers/expanded-teachers.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/intl-pool-teacher.service.ts|apps/api/src/modules/prediction/dto/prediction-response.dto.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.spec.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.ts|apps/api/src/modules/prediction/prediction-policy.service.spec.ts|apps/api/src/modules/prediction/prediction-policy.service.ts|apps/api/src/modules/prediction/prediction-statistical-engine.service.spec.ts|apps/api/src/modules/prediction/prediction-statistical-engine.service.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.controller.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|apps/api/src/modules/prediction/prediction.service.ts|packages/shared/src/scoring/contextual-baseline.ts"
"needBlindInternational","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-backfill.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-backfill.service.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.spec.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/distillation/teachers/expanded-teachers.service.spec.ts|apps/api/src/modules/prediction/distillation/teachers/intl-pool-teacher.service.ts|apps/api/src/modules/prediction/dto/prediction-response.dto.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.spec.ts|apps/api/src/modules/prediction/prediction-hook-modifiers.service.ts|apps/api/src/modules/prediction/prediction-statistical-engine.service.spec.ts|apps/api/src/modules/prediction/prediction-statistical-engine.service.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.controller.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|apps/api/src/modules/prediction/prediction.service.ts"
"oosAcceptanceRate","prediction_engine","info","trusted","trusted_consumer_visibility_present","accept-current-consumer-visibility-evidence","apps/api/src/modules/prediction/counselor/counselor-engine.service.spec.ts|apps/api/src/modules/prediction/counselor/counselor-engine.service.ts|apps/api/src/modules/prediction/counselor/counselor-modifiers.ts|apps/api/src/modules/prediction/dto/prediction-response.dto.ts|apps/api/src/modules/prediction/prediction-policy.service.ts|apps/api/src/modules/prediction/prediction-transformer.service.ts|apps/api/src/modules/prediction/prediction.prompts.ts|apps/api/src/modules/prediction/prediction.service.spec.ts|apps/api/src/modules/prediction/prediction.service.ts|packages/shared/src/scoring/types.ts"
