schoolId,schoolName,assetId,gap,action,severity,disposition,closureState,nextAction,consumerPolicy,route
cmnwr8iwi0051z0tidfdrzv7w,Cooper Union,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iwi0051z0tidfdrzv7w/media
cmn1htknq000cvqf2sogobdg1,Cornell University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htknq000cvqf2sogobdg1/media
cmnwr8iw9004wz0tiun4guycq,Curtis Institute of Music,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iw9004wz0tiun4guycq/media
cmn1htko2000hvqf2r5gxwf84,Dartmouth College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htko2000hvqf2r5gxwf84/media
cmnwr8ive004gz0tihs1kxbek,Davidson College,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ive004gz0tihs1kxbek/media
cmnwr8ioe001ez0tii04p5pvd,DePaul University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ioe001ez0tii04p5pvd/media
cmnwr8ink000xz0tivm4enckb,Drexel University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ink000xz0tivm4enckb/media
cmn1htkng0007vqf224oeyvgq,Duke University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkng0007vqf224oeyvgq/media
cmnwr8isn0039z0tik49prelk,Eastern Michigan University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8isn0039z0tik49prelk/media
cmn1htkoj000ovqf226pta7or,Emory University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmn1htkoj000ovqf226pta7or/media
cmnwr8it5003hz0tie38swawv,Florida International University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8it5003hz0tie38swawv/media
cmnwr8iny0016z0tiikip2622,Florida State University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8iny0016z0tiikip2622/media
cmnwr8imr000hz0tik9lqym4i,Fordham University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8imr000hz0tik9lqym4i/media
cmnwr8ipz001xz0ti9f4tlagk,George Mason University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8ipz001xz0ti9f4tlagk/media
cmnwr8img000bz0tiktbc3agu,George Washington University,,media.primary_missing,discover-media,warning,source_search_primary_campus_cover_required,source_search,source-search,use_placeholder_or_non_primary_fallback_until_approved,/admin/schools/cmnwr8img000bz0tiktbc3agu/media
