rowKind,id,status,summary,missing,recipientKey,campaignId,severity,route,allowedChannels,liveChannelsDisabled,frequencyDedupeKey,suppressWhen
check,consumer_closure_present,pass,Delivery monitor requires the latest consumer closure packet.,,,,,,,,,
check,top_campaign_identified,pass,The delivery monitor must identify a readiness campaign group.,,,,,,,,,
check,worklist_alignment,pass,The monitor rows should match the current top-campaign worklist rows.,,,,,,,,,
check,monitor_rows_ready,pass,Pending top-campaign rows must be ready for in-app/admin delivery.,,,,,,,,,
check,monitor_rows_anonymized,pass,Delivery monitor rows must stay anonymized by default.,,,,,,,,,
check,approved_surfaces_only,pass,Delivery monitor rows must stay on approved in-app/dashboard surfaces.,,,,,,,,,
check,live_channels_disabled,pass,"Live Redis, push, and email delivery must remain disabled in this monitor.",,,,,,,,,
check,suppression_rules_present,pass,Every delivery monitor row needs suppression criteria before display.,,,,,,,,,
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,33d208d29a37e7d2dc8c4016,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:33d208d29a37e7d2dc8c4016,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,37ce64a95aae99826a100010,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:37ce64a95aae99826a100010,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,394c2d9b4cc19dc2169caeb9,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:394c2d9b4cc19dc2169caeb9,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,39d1b52aa0fa37667b923a44,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:39d1b52aa0fa37667b923a44,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,3a124a078fdca59f0434bec6,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:3a124a078fdca59f0434bec6,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,3c5c2331d6edec50d3cbabee,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:3c5c2331d6edec50d3cbabee,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,3ced9fe6deced57fc5d6fb06,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:3ced9fe6deced57fc5d6fb06,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,42fd600df16a836cea1aea58,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:42fd600df16a836cea1aea58,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,463c17149f3e96274a44ad4e,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:463c17149f3e96274a44ad4e,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,47bb439660e42524d3b3c107,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:47bb439660e42524d3b3c107,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,4bf1ca2d2ffa0b1b0c89684d,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:4bf1ca2d2ffa0b1b0c89684d,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,4dd78dc12c47644d9d99d9b8,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:4dd78dc12c47644d9d99d9b8,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,4ec97ae471354451e2627f7e,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:4ec97ae471354451e2627f7e,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,52293c5806d425f67cff5f35,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:52293c5806d425f67cff5f35,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,53d98fdd2918b07ccfbec194,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:53d98fdd2918b07ccfbec194,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,54e2a4001cf431350e3fe1d0,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:54e2a4001cf431350e3fe1d0,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,56b55b3a8f2de930ce04fce0,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:56b55b3a8f2de930ce04fce0,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,56c48429af44c6c573b42488,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:56c48429af44c6c573b42488,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,5703b13b5f6c5d48d363ffe2,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:5703b13b5f6c5d48d363ffe2,SchoolListItem count > 0
monitor_row,,ready_for_in_app_admin_delivery,anonymized readiness delivery monitor row,,5938b094589f6bb3795360cd,school-list-prompt-user-school-list-add-first,critical,/schools,in_app_readiness_surface; dashboard,redis_notification_feed; remote_push; email,profile-readiness:school-list-prompt-user-school-list-add-first:5938b094589f6bb3795360cd,SchoolListItem count > 0
